timestamp (start),timestamp (end),ground truth,prediction
1:11,1:12,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:12,1:13,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:13,1:14,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:14,1:15,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:15,1:16,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:16,1:17,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:17,1:18,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:18,1:19,Cry,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:19,1:20,Cry,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:20,1:21,Cry,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:21,1:22,Cry,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:22,1:23,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:11,1:12,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:12,1:13,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:13,1:14,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:14,1:15,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:15,1:16,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:16,1:17,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:17,1:18,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:18,1:19,Cry,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:19,1:20,Cry,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:20,1:21,Cry,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:21,1:22,Cry,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:22,1:23,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:11,1:12,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:12,1:13,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:13,1:14,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:14,1:15,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:15,1:16,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:16,1:17,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:17,1:18,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:18,1:19,Cry,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:19,1:20,Cry,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:20,1:21,Cry,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:21,1:22,Cry,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:22,1:23,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:11,1:12,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:12,1:13,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:13,1:14,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:14,1:15,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:15,1:16,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:16,1:17,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:17,1:18,none,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:18,1:19,Cry,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:19,1:20,Cry,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:20,1:21,Cry,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:21,1:22,Cry,Cry
timestamp (start),timestamp (end),ground truth,prediction
1:22,1:23,none,Cry
