sdan,ground_truth,prediction,count,percentage
1007,none,non-crying,590,98.33333333333333
1007,Whine,non-crying,10,1.6666666666666667
1232,none,non-crying,505,84.16666666666667
1232,Whine,non-crying,95,15.833333333333332
1385,none,non-crying,570,95.0
1385,none,crying,15,2.5
1385,Whine,crying,15,2.5
1429,none,non-crying,600,100.0
1457,none,non-crying,550,91.66666666666666
1457,Whine,non-crying,10,1.6666666666666667
1457,none,crying,40,6.666666666666667
1463,none,non-crying,325,54.166666666666664
1463,Whine,non-crying,5,0.8333333333333334
1463,none,crying,70,11.666666666666666
1463,Whine,crying,200,33.33333333333333
1505,none,non-crying,600,100.0
1541,Whine,non-crying,15,2.5
1541,none,non-crying,585,97.5
1551,none,non-crying,600,100.0
1566,none,non-crying,535,89.16666666666667
1566,Whine,non-crying,20,3.3333333333333335
1566,none,crying,20,3.3333333333333335
1566,Whine,crying,25,4.166666666666666
1629,none,non-crying,600,100.0
1648,none,non-crying,600,100.0
1720,none,non-crying,465,77.5
1720,none,crying,120,20.0
1720,Yell,crying,15,2.5
1746,none,non-crying,600,100.0
1750,none,non-crying,380,63.33333333333333
1750,none,crying,215,35.833333333333336
1750,Whine,crying,5,0.8333333333333334
1752,none,non-crying,560,93.33333333333333
1752,none,crying,40,6.666666666666667
1879,Whine,non-crying,25,4.166666666666666
1879,none,non-crying,575,95.83333333333334
1905,none,non-crying,600,100.0
1915,none,non-crying,435,72.5
1915,Scream,non-crying,5,0.8333333333333334
1915,Scream,crying,55,9.166666666666666
1915,Whine,crying,65,10.833333333333334
1915,none,crying,30,5.0
1915,Whine,non-crying,10,1.6666666666666667
1920,none,non-crying,230,38.333333333333336
1920,none,crying,370,61.66666666666667
1939,none,non-crying,480,80.0
1939,none,crying,70,11.666666666666666
1939,Whine,crying,50,8.333333333333332
1942,none,non-crying,225,37.5
1942,none,crying,110,18.333333333333332
1942,Whine,crying,180,30.0
1942,Whine,non-crying,35,5.833333333333333
1942,Cry,crying,50,8.333333333333332
1944,none,non-crying,600,100.0
1970,none,non-crying,430,71.66666666666667
1970,Whine,non-crying,45,7.5
1970,none,crying,45,7.5
1970,Whine,crying,80,13.333333333333334
1994,none,non-crying,600,100.0
2020,none,non-crying,600,100.0
2021,none,non-crying,465,77.5
2021,none,crying,35,5.833333333333333
2021,Cry,crying,100,16.666666666666664
2027,none,non-crying,600,100.0
2029,Cry,crying,30,5.0
2029,none,crying,215,35.833333333333336
2029,none,non-crying,345,57.49999999999999
2029,Whine,non-crying,5,0.8333333333333334
2029,Yell,crying,5,0.8333333333333334
2042,none,non-crying,600,100.0
2128,none,non-crying,600,100.0
2140,none,non-crying,310,51.66666666666667
2140,none,crying,245,40.833333333333336
2140,Whine,crying,10,1.6666666666666667
2140,Yell,non-crying,25,4.166666666666666
2140,Yell,crying,10,1.6666666666666667
2145,none,non-crying,385,64.16666666666667
2145,none,crying,205,34.166666666666664
2145,Whine,crying,10,1.6666666666666667
2161,none,non-crying,600,100.0
2206,none,non-crying,600,100.0
2330,none,non-crying,600,100.0
2374,none,crying,110,18.333333333333332
2374,Cry,crying,20,3.3333333333333335
2374,Whine,crying,45,7.5
2374,none,non-crying,420,70.0
2374,Whine,non-crying,5,0.8333333333333334
2379,none,non-crying,340,56.666666666666664
2379,none,crying,175,29.166666666666668
2379,Cry,crying,85,14.166666666666666
2392,none,non-crying,600,100.0
2399,none,non-crying,560,93.33333333333333
2399,Whine,non-crying,40,6.666666666666667
2411,none,non-crying,295,49.166666666666664
2411,none,crying,125,20.833333333333336
2411,Whine,crying,100,16.666666666666664
2411,Whine,non-crying,15,2.5
2411,Cry,crying,65,10.833333333333334
2431,none,non-crying,600,100.0
2432,none,non-crying,570,95.0
2432,Whine,non-crying,30,5.0
2501,none,non-crying,600,100.0
2503,none,non-crying,535,89.16666666666667
2503,none,crying,30,5.0
2503,Whine,non-crying,35,5.833333333333333
2520,none,non-crying,410,68.33333333333333
2520,Cry,crying,110,18.333333333333332
2520,none,crying,20,3.3333333333333335
2520,Whine,non-crying,60,10.0
2556,none,non-crying,600,100.0
2603,none,non-crying,600,100.0
2633,none,non-crying,440,73.33333333333333
2633,none,crying,125,20.833333333333336
2633,Whine,non-crying,30,5.0
2633,Whine,crying,5,0.8333333333333334
2643,none,non-crying,595,99.16666666666667
2643,Whine,non-crying,5,0.8333333333333334
2790,none,non-crying,590,98.33333333333333
2790,Whine,non-crying,10,1.6666666666666667
2798,none,non-crying,375,62.5
2798,Whine,non-crying,5,0.8333333333333334
2798,Whine,crying,45,7.5
2798,none,crying,65,10.833333333333334
2798,Cry,crying,110,18.333333333333332
2816,none,non-crying,560,93.33333333333333
2816,none,crying,40,6.666666666666667
2828,none,non-crying,500,83.33333333333334
2828,Whine,non-crying,40,6.666666666666667
2828,Whine,crying,45,7.5
2828,none,crying,15,2.5
2866,none,non-crying,600,100.0
2916,none,non-crying,595,99.16666666666667
2916,Whine,non-crying,5,0.8333333333333334
2991,none,non-crying,450,75.0
2991,Whine,non-crying,20,3.3333333333333335
2991,none,crying,90,15.0
2991,Yell,crying,10,1.6666666666666667
2991,Whine,crying,30,5.0
3007,none,non-crying,535,89.16666666666667
3007,none,crying,65,10.833333333333334
3021,none,non-crying,600,100.0
3035,none,non-crying,450,75.0
3035,Whine,non-crying,10,1.6666666666666667
3035,Whine,crying,35,5.833333333333333
3035,none,crying,105,17.5
3091,none,non-crying,545,90.83333333333333
3091,Whine,non-crying,5,0.8333333333333334
3091,none,crying,50,8.333333333333332
3094,none,non-crying,560,93.33333333333333
3094,none,crying,20,3.3333333333333335
3094,Whine,crying,15,2.5
3094,Whine,non-crying,5,0.8333333333333334
3106,none,non-crying,210,35.0
3106,none,crying,390,65.0
3115,none,non-crying,600,100.0
3153,none,non-crying,600,100.0
3173,none,non-crying,595,99.16666666666667
3173,Whine,non-crying,5,0.8333333333333334
3207,none,non-crying,480,80.0
3207,Whine,non-crying,10,1.6666666666666667
3207,none,crying,110,18.333333333333332
3300,none,non-crying,600,100.0
3302,none,non-crying,565,94.16666666666667
3302,none,crying,35,5.833333333333333
3320,none,non-crying,545,90.83333333333333
3320,Whine,non-crying,20,3.3333333333333335
3320,none,crying,35,5.833333333333333
3343,none,non-crying,595,99.16666666666667
3343,Whine,non-crying,5,0.8333333333333334
3349,none,non-crying,570,95.0
3349,none,crying,30,5.0
3354,none,non-crying,600,100.0
3441,none,non-crying,600,100.0
3443,none,non-crying,600,100.0
3560,none,non-crying,575,95.83333333333334
3560,Whine,non-crying,25,4.166666666666666
3570,none,non-crying,595,99.16666666666667
3570,Whine,non-crying,5,0.8333333333333334
3572,none,non-crying,600,100.0
3582,none,non-crying,340,56.666666666666664
3582,none,crying,165,27.500000000000004
3582,Whine,crying,50,8.333333333333332
3582,Whine,non-crying,15,2.5
3582,Cry,crying,15,2.5
3582,Scream,crying,15,2.5
3590,none,non-crying,600,100.0
3591,none,non-crying,600,100.0
3649,none,non-crying,600,100.0
3712,none,non-crying,600,100.0
3750,none,non-crying,600,100.0
3783,none,non-crying,555,92.5
3783,none,crying,10,1.6666666666666667
3783,Whine,crying,35,5.833333333333333
3814,none,non-crying,595,99.16666666666667
3814,Whine,non-crying,5,0.8333333333333334
3815,none,non-crying,405,67.5
3815,Whine,non-crying,80,13.333333333333334
3815,Whine,crying,70,11.666666666666666
3815,none,crying,40,6.666666666666667
3815,Scream,non-crying,5,0.8333333333333334
3825,none,non-crying,545,90.83333333333333
3825,Whine,non-crying,10,1.6666666666666667
3825,Yell,non-crying,5,0.8333333333333334
3825,none,crying,40,6.666666666666667
3909,none,non-crying,600,100.0
3922,none,non-crying,590,98.33333333333333
3922,Whine,non-crying,10,1.6666666666666667
3929,none,non-crying,595,99.16666666666667
3929,Whine,non-crying,5,0.8333333333333334
3999,none,non-crying,600,100.0
4040,none,non-crying,600,100.0
4045,none,non-crying,545,90.83333333333333
4045,Whine,non-crying,10,1.6666666666666667
4045,Whine,crying,5,0.8333333333333334
4045,none,crying,40,6.666666666666667
4049,none,non-crying,600,100.0
4259,none,non-crying,425,70.83333333333334
4259,Whine,non-crying,95,15.833333333333332
4259,Whine,crying,10,1.6666666666666667
4259,none,crying,70,11.666666666666666
4319,none,non-crying,595,99.16666666666667
4319,Whine,non-crying,5,0.8333333333333334
4335,none,crying,135,22.5
4335,Whine,crying,20,3.3333333333333335
4335,none,non-crying,445,74.16666666666667
4768,Whine,non-crying,5,0.8333333333333334
4768,none,crying,405,67.5
4768,none,non-crying,190,31.666666666666664
4893,none,non-crying,570,95.0
4893,none,crying,15,2.5
4893,Whine,crying,15,2.5
