	Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	detection/no-detection
0	00:00:00.000	0.00	00:00:21.000	21.00	00:00:21.000	21.00	detection
1	00:00:28.000	28.00	00:01:11.000	71.00	00:01:11.000	71.00	detection
2	00:01:18.000	78.00	00:01:28.000	88.00	00:01:28.000	88.00	detection
3	00:01:46.000	106.00	00:02:40.000	160.00	00:02:40.000	160.00	detection
4	00:02:46.000	166.00	00:03:46.000	226.00	00:03:46.000	226.00	detection
5	00:04:31.000	271.00	00:04:42.000	282.00	00:04:42.000	282.00	detection
6	00:09:29.000	569.00	00:09:44.000	584.00	00:09:44.000	584.00	detection
7	00:10:08.000	608.00	00:10:23.000	623.00	00:10:23.000	623.00	detection
8	00:10:46.000	646.00	00:10:56.000	656.00	00:10:56.000	656.00	detection
9	00:11:00.000	660.00	00:11:12.000	672.00	00:11:12.000	672.00	detection
10	00:11:20.000	680.00	00:11:47.000	707.00	00:11:47.000	707.00	detection
11	00:12:08.000	728.00	00:12:46.000	766.00	00:12:46.000	766.00	detection
12	00:13:20.000	800.00	00:15:00.000	900.00	00:15:00.000	900.00	detection
13	00:15:04.000	904.00	00:16:16.000	976.00	00:16:16.000	976.00	detection
14	00:16:28.000	988.00	00:17:46.000	1066.00	00:17:46.000	1066.00	detection
15	00:18:12.000	1092.00	00:18:33.000	1113.00	00:18:33.000	1113.00	detection
16	00:18:39.000	1119.00	00:18:50.000	1130.00	00:18:50.000	1130.00	detection
17	00:18:54.000	1134.00	00:21:11.000	1271.00	00:21:11.000	1271.00	detection
18	00:21:16.000	1276.00	00:21:36.000	1296.00	00:21:36.000	1296.00	detection
19	00:21:44.000	1304.00	00:21:50.000	1310.00	00:21:50.000	1310.00	detection
20	00:22:00.000	1320.00	00:22:09.000	1329.00	00:22:09.000	1329.00	detection
21	00:22:43.000	1363.00	00:24:48.000	1488.00	00:24:48.000	1488.00	detection
22	00:24:54.000	1494.00	00:25:31.000	1531.00	00:25:31.000	1531.00	detection
23	00:25:38.000	1538.00	00:25:51.000	1551.00	00:25:51.000	1551.00	detection
24	00:26:00.000	1560.00	00:26:40.000	1600.00	00:26:40.000	1600.00	detection
25	00:26:45.000	1605.00	00:27:16.000	1636.00	00:27:16.000	1636.00	detection
26	00:27:26.000	1646.00	00:27:35.000	1655.00	00:27:35.000	1655.00	detection
27	00:27:40.000	1660.00	00:28:00.000	1680.00	00:28:00.000	1680.00	detection
28	00:28:03.000	1683.00	00:28:56.000	1736.00	00:28:56.000	1736.00	detection
29	00:29:01.000	1741.00	00:29:12.000	1752.00	00:29:12.000	1752.00	detection
30	00:29:19.000	1759.00	00:30:00.000	1800.00	00:30:00.000	1800.00	detection
31	00:30:02.000	1802.00	00:32:24.000	1944.00	00:32:24.000	1944.00	detection
32	00:32:30.000	1950.00	00:33:41.000	2021.00	00:33:41.000	2021.00	detection
33	00:34:15.000	2055.00	00:34:26.000	2066.00	00:34:26.000	2066.00	detection
34	00:34:54.000	2094.00	00:35:11.000	2111.00	00:35:11.000	2111.00	detection
35	00:35:18.000	2118.00	00:35:36.000	2136.00	00:35:36.000	2136.00	detection
36	00:35:45.000	2145.00	00:36:00.000	2160.00	00:36:00.000	2160.00	detection
37	00:36:09.000	2169.00	00:36:31.000	2191.00	00:36:31.000	2191.00	detection
38	00:36:46.000	2206.00	00:36:54.000	2214.00	00:36:54.000	2214.00	detection
39	00:37:03.000	2223.00	00:37:20.000	2240.00	00:37:20.000	2240.00	detection
40	00:37:51.000	2271.00	00:39:01.000	2341.00	00:39:01.000	2341.00	detection
41	00:39:06.000	2346.00	00:41:00.000	2460.00	00:41:00.000	2460.00	detection
42	00:41:18.000	2478.00	00:41:26.000	2486.00	00:41:26.000	2486.00	detection
43	00:41:30.000	2490.00	00:41:43.000	2503.00	00:41:43.000	2503.00	detection
44	00:42:03.000	2523.00	00:42:10.000	2530.00	00:42:10.000	2530.00	detection
45	00:42:25.000	2545.00	00:42:54.000	2574.00	00:42:54.000	2574.00	detection
46	00:43:35.000	2615.00	00:44:00.000	2640.00	00:44:00.000	2640.00	detection
47	00:45:18.000	2718.00	00:45:33.000	2733.00	00:45:33.000	2733.00	detection
48	00:46:00.000	2760.00	00:46:18.000	2778.00	00:46:18.000	2778.00	detection
49	00:46:25.000	2785.00	00:46:33.000	2793.00	00:46:33.000	2793.00	detection
50	00:46:39.000	2799.00	00:47:33.000	2853.00	00:47:33.000	2853.00	detection
51	00:47:51.000	2871.00	00:48:00.000	2880.00	00:48:00.000	2880.00	detection
52	00:48:11.000	2891.00	00:48:55.000	2935.00	00:48:55.000	2935.00	detection
53	00:49:16.000	2956.00	00:49:33.000	2973.00	00:49:33.000	2973.00	detection
54	00:49:41.000	2981.00	00:50:00.000	3000.00	00:50:00.000	3000.00	detection
55	00:50:23.000	3023.00	00:51:10.000	3070.00	00:51:10.000	3070.00	detection
56	00:51:28.000	3088.00	00:51:38.000	3098.00	00:51:38.000	3098.00	detection
57	00:51:44.000	3104.00	00:52:08.000	3128.00	00:52:08.000	3128.00	detection
58	00:52:12.000	3132.00	00:52:52.000	3172.00	00:52:52.000	3172.00	detection
59	00:53:15.000	3195.00	00:53:31.000	3211.00	00:53:31.000	3211.00	detection
60	00:54:00.000	3240.00	00:54:06.000	3246.00	00:54:06.000	3246.00	detection
61	00:54:11.000	3251.00	00:55:34.000	3334.00	00:55:34.000	3334.00	detection
62	00:57:26.000	3446.00	00:57:49.000	3469.00	00:57:49.000	3469.00	detection
63	00:58:13.000	3493.00	00:58:24.000	3504.00	00:58:24.000	3504.00	detection
64	00:58:29.000	3509.00	00:58:41.000	3521.00	00:58:41.000	3521.00	detection
65	00:58:46.000	3526.00	00:59:15.000	3555.00	00:59:15.000	3555.00	detection
66	00:59:30.000	3570.00	00:59:44.000	3584.00	00:59:44.000	3584.00	detection
67	00:59:49.000	3589.00	01:00:00.000	3600.00	01:00:00.000	3600.00	detection
68	01:00:20.000	3620.00	01:00:38.000	3638.00	01:00:38.000	3638.00	detection
69	01:02:00.000	3720.00	01:02:06.000	3726.00	01:02:06.000	3726.00	detection
70	01:02:51.000	3771.00	01:03:02.000	3782.00	01:03:02.000	3782.00	detection
71	01:03:10.000	3790.00	01:03:18.000	3798.00	01:03:18.000	3798.00	detection
72	01:03:24.000	3804.00	01:03:45.000	3825.00	01:03:45.000	3825.00	detection
73	01:04:23.000	3863.00	01:04:38.000	3878.00	01:04:38.000	3878.00	detection
74	01:05:09.000	3909.00	01:05:46.000	3946.00	01:05:46.000	3946.00	detection
75	01:05:51.000	3951.00	01:06:14.000	3974.00	01:06:14.000	3974.00	detection
76	01:06:22.000	3982.00	01:08:00.000	4080.00	01:08:00.000	4080.00	detection
77	01:08:11.000	4091.00	01:08:37.000	4117.00	01:08:37.000	4117.00	detection
78	01:08:42.000	4122.00	01:09:31.000	4171.00	01:09:31.000	4171.00	detection
79	01:09:37.000	4177.00	01:09:46.000	4186.00	01:09:46.000	4186.00	detection
80	01:10:00.000	4200.00	01:10:28.000	4228.00	01:10:28.000	4228.00	detection
81	01:10:50.000	4250.00	01:11:00.000	4260.00	01:11:00.000	4260.00	detection
82	01:11:08.000	4268.00	01:11:19.000	4279.00	01:11:19.000	4279.00	detection
83	01:11:33.000	4293.00	01:11:54.000	4314.00	01:11:54.000	4314.00	detection
84	01:12:19.000	4339.00	01:12:29.000	4349.00	01:12:29.000	4349.00	detection
85	01:12:50.000	4370.00	01:13:14.000	4394.00	01:13:14.000	4394.00	detection
86	01:13:26.000	4406.00	01:14:00.000	4440.00	01:14:00.000	4440.00	detection
87	01:14:14.000	4454.00	01:14:29.000	4469.00	01:14:29.000	4469.00	detection
88	01:14:56.000	4496.00	01:16:25.000	4585.00	01:16:25.000	4585.00	detection
89	01:17:16.000	4636.00	01:17:46.000	4666.00	01:17:46.000	4666.00	detection
90	01:17:54.000	4674.00	01:18:18.000	4698.00	01:18:18.000	4698.00	detection
91	01:18:42.000	4722.00	01:18:56.000	4736.00	01:18:56.000	4736.00	detection
92	01:19:08.000	4748.00	01:20:00.000	4800.00	01:20:00.000	4800.00	detection
93	01:20:01.000	4801.00	01:20:15.000	4815.00	01:20:15.000	4815.00	detection
94	01:20:40.000	4840.00	01:20:54.000	4854.00	01:20:54.000	4854.00	detection
95	01:20:59.000	4859.00	01:21:06.000	4866.00	01:21:06.000	4866.00	detection
96	01:21:11.000	4871.00	01:21:28.000	4888.00	01:21:28.000	4888.00	detection
97	01:21:38.000	4898.00	01:21:51.000	4911.00	01:21:51.000	4911.00	detection
98	01:22:00.000	4920.00	01:22:34.000	4954.00	01:22:34.000	4954.00	detection
99	01:22:59.000	4979.00	01:26:26.000	5186.00	01:26:26.000	5186.00	detection
100	01:26:32.000	5192.00	01:27:07.000	5227.00	01:27:07.000	5227.00	detection
101	01:27:17.000	5237.00	01:27:27.000	5247.00	01:27:27.000	5247.00	detection
102	01:28:07.000	5287.00	01:28:13.000	5293.00	01:28:13.000	5293.00	detection
103	01:28:33.000	5313.00	01:28:41.000	5321.00	01:28:41.000	5321.00	detection
104	01:29:03.000	5343.00	01:29:13.000	5353.00	01:29:13.000	5353.00	detection
105	01:29:18.000	5358.00	01:29:25.000	5365.00	01:29:25.000	5365.00	detection
106	01:29:30.000	5370.00	01:29:46.000	5386.00	01:29:46.000	5386.00	detection
107	01:29:50.000	5390.00	01:30:00.000	5400.00	01:30:00.000	5400.00	detection
108	01:30:15.000	5415.00	01:30:48.000	5448.00	01:30:48.000	5448.00	detection
109	01:30:54.000	5454.00	01:31:09.000	5469.00	01:31:09.000	5469.00	detection
110	01:31:13.000	5473.00	01:32:00.000	5520.00	01:32:00.000	5520.00	detection
111	01:32:20.000	5540.00	01:33:39.000	5619.00	01:33:39.000	5619.00	detection
112	01:33:52.000	5632.00	01:36:17.000	5777.00	01:36:17.000	5777.00	detection
113	01:36:44.000	5804.00	01:41:39.000	6099.00	01:41:39.000	6099.00	detection
114	01:42:32.000	6152.00	01:42:44.000	6164.00	01:42:44.000	6164.00	detection
115	01:42:52.000	6172.00	01:43:45.000	6225.00	01:43:45.000	6225.00	detection
116	01:44:00.000	6240.00	01:44:51.000	6291.00	01:44:51.000	6291.00	detection
117	01:45:33.000	6333.00	01:46:07.000	6367.00	01:46:07.000	6367.00	detection
118	01:48:30.000	6510.00	01:51:20.000	6680.00	01:51:20.000	6680.00	detection
119	01:51:29.000	6689.00	01:52:00.000	6720.00	01:52:00.000	6720.00	detection
120	01:52:17.000	6737.00	01:53:27.000	6807.00	01:53:27.000	6807.00	detection
121	01:54:42.000	6882.00	01:55:04.000	6904.00	01:55:04.000	6904.00	detection
122	01:55:42.000	6942.00	01:56:42.000	7002.00	01:56:42.000	7002.00	detection
123	01:57:19.000	7039.00	02:01:50.000	7310.00	02:01:50.000	7310.00	detection
124	02:02:22.000	7342.00	02:06:00.000	7560.00	02:06:00.000	7560.00	detection
125	02:06:11.000	7571.00	02:06:18.000	7578.00	02:06:18.000	7578.00	detection
126	02:06:23.000	7583.00	02:08:24.000	7704.00	02:08:24.000	7704.00	detection
127	02:08:29.000	7709.00	02:08:50.000	7730.00	02:08:50.000	7730.00	detection
128	02:09:14.000	7754.00	02:12:00.000	7920.00	02:12:00.000	7920.00	detection
129	02:12:11.000	7931.00	02:12:29.000	7949.00	02:12:29.000	7949.00	detection
130	02:13:13.000	7993.00	02:14:51.000	8091.00	02:14:51.000	8091.00	detection
131	02:15:11.000	8111.00	02:15:34.000	8134.00	02:15:34.000	8134.00	detection
132	02:15:48.000	8148.00	02:18:00.000	8280.00	02:18:00.000	8280.00	detection
133	02:18:02.000	8282.00	02:18:59.000	8339.00	02:18:59.000	8339.00	detection
134	02:19:07.000	8347.00	02:20:06.000	8406.00	02:20:06.000	8406.00	detection
135	02:20:10.000	8410.00	02:20:46.000	8446.00	02:20:46.000	8446.00	detection
136	02:21:28.000	8488.00	02:25:11.000	8711.00	02:25:11.000	8711.00	detection
137	02:25:28.000	8728.00	02:26:00.000	8760.00	02:26:00.000	8760.00	detection
138	02:26:10.000	8770.00	02:26:41.000	8801.00	02:26:41.000	8801.00	detection
139	02:26:47.000	8807.00	02:27:54.000	8874.00	02:27:54.000	8874.00	detection
140	02:28:04.000	8884.00	02:28:16.000	8896.00	02:28:16.000	8896.00	detection
141	02:28:31.000	8911.00	02:30:14.000	9014.00	02:30:14.000	9014.00	detection
142	02:30:24.000	9024.00	02:31:16.000	9076.00	02:31:16.000	9076.00	detection
143	02:31:27.000	9087.00	02:32:24.000	9144.00	02:32:24.000	9144.00	detection
144	02:32:39.000	9159.00	02:34:48.000	9288.00	02:34:48.000	9288.00	detection
145	02:35:00.000	9300.00	02:35:50.000	9350.00	02:35:50.000	9350.00	detection
146	02:36:01.000	9361.00	02:36:30.000	9390.00	02:36:30.000	9390.00	detection
147	02:36:35.000	9395.00	02:38:24.000	9504.00	02:38:24.000	9504.00	detection
148	02:38:30.000	9510.00	02:38:39.000	9519.00	02:38:39.000	9519.00	detection
149	02:38:45.000	9525.00	02:39:41.000	9581.00	02:39:41.000	9581.00	detection
150	02:39:47.000	9587.00	02:40:19.000	9619.00	02:40:19.000	9619.00	detection
151	02:40:26.000	9626.00	02:40:39.000	9639.00	02:40:39.000	9639.00	detection
152	02:40:47.000	9647.00	02:42:15.000	9735.00	02:42:15.000	9735.00	detection
153	02:42:22.000	9742.00	02:44:21.000	9861.00	02:44:21.000	9861.00	detection
154	02:44:35.000	9875.00	02:45:06.000	9906.00	02:45:06.000	9906.00	detection
155	02:45:13.000	9913.00	02:45:31.000	9931.00	02:45:31.000	9931.00	detection
156	02:45:41.000	9941.00	02:46:00.000	9960.00	02:46:00.000	9960.00	detection
157	02:46:05.000	9965.00	02:46:37.000	9997.00	02:46:37.000	9997.00	detection
158	02:46:41.000	10001.00	02:46:57.000	10017.00	02:46:57.000	10017.00	detection
159	02:47:01.000	10021.00	02:47:16.000	10036.00	02:47:16.000	10036.00	detection
160	02:48:00.000	10080.00	02:48:44.000	10124.00	02:48:44.000	10124.00	detection
161	02:49:40.000	10180.00	02:50:07.000	10207.00	02:50:07.000	10207.00	detection
162	02:50:13.000	10213.00	02:50:58.000	10258.00	02:50:58.000	10258.00	detection
163	02:51:07.000	10267.00	02:52:00.000	10320.00	02:52:00.000	10320.00	detection
164	02:52:22.000	10342.00	02:56:17.000	10577.00	02:56:17.000	10577.00	detection
165	02:56:22.000	10582.00	02:56:58.000	10618.00	02:56:58.000	10618.00	detection
166	02:57:42.000	10662.00	02:58:00.000	10680.00	02:58:00.000	10680.00	detection
167	02:58:14.000	10694.00	02:59:31.000	10771.00	02:59:31.000	10771.00	detection
168	02:59:53.000	10793.00	03:00:00.000	10800.00	03:00:00.000	10800.00	detection
169	03:00:02.000	10802.00	03:00:23.000	10823.00	03:00:23.000	10823.00	detection
170	03:01:02.000	10862.00	03:01:22.000	10882.00	03:01:22.000	10882.00	detection
171	03:01:27.000	10887.00	03:03:16.000	10996.00	03:03:16.000	10996.00	detection
172	03:03:20.000	11000.00	03:03:30.000	11010.00	03:03:30.000	11010.00	detection
173	03:05:01.000	11101.00	03:05:10.000	11110.00	03:05:10.000	11110.00	detection
174	03:05:22.000	11122.00	03:06:00.000	11160.00	03:06:00.000	11160.00	detection
175	03:06:10.000	11170.00	03:07:07.000	11227.00	03:07:07.000	11227.00	detection
