,subject
0,3170
1,3929
2,3443
3,1588
4,3758
5,4597
6,3037
7,1180
8,2128
9,1915
10,1879
11,3849
12,1254
13,2020
14,1715
15,3362
16,1910
17,3090
18,2029
19,2523
20,2976
21,3922
22,3035
23,1323
24,3928
25,3364
26,2572
27,3486
28,2705
29,2593
30,2551
31,2302
32,2165
33,2524
34,3792
35,2534
36,2977
37,3865
38,1292
39,2818
40,3042
41,2628
42,2150
43,2993
44,3756
45,1325
46,2023
47,1355
48,3389
49,1333
50,1944
51,1969
52,1942
53,3066
54,2520
55,1541
56,2081
57,3278
58,2042
59,1222
60,4480
61,3814
62,3101
63,1774
64,4047
65,1566
66,2556
67,3815
68,1332
69,1219
70,3341
71,2021
72,4907
73,3343
74,2189
75,2095
76,2207
77,4893
78,3536
79,3233
80,1959
81,1752
82,2262
83,2533
84,3105
85,2246
86,1264
87,2277
88,3374
89,1892
90,2239
91,2374
92,1999
93,1029
94,3287
95,2379
96,2603
97,1578
98,3173
99,2798
